id|title|description|image|location|type|skillLevel|tags|lastUpdated
as1|Toronto Sport & Social Club|Join recreational sports leagues and meet new people while staying active. Offers leagues for volleyball, soccer, basketball, and more. Perfect for young professionals looking to stay active and socialize. Registration available seasonally (Spring, Summer, Fall, Winter).|https://source.unsplash.com/random/?sports,team|Multiple locations across GTA|Multi-sport|All levels|Leagues,Social,Multiple Sports,Indoor,Outdoor,Volleyball,Soccer,Basketball|2025-05-29T00:00:00Z
as2|High Park Running Group|Group runs every Tuesday/Thursday evenings and Saturday mornings at High Park main entrance. Professional coaching available. Features monthly time trials and seasonal races. Free to join with special events throughout the year.|https://source.unsplash.com/random/?running,park|High Park main entrance|Running|All levels|Running,Outdoors,Group Activity,Coaching,Training,Free,Time Trials|2025-05-29T00:00:00Z
as3|GTA Soccer Meetup|Weekly pickup games and mini-tournaments with indoor winter league at Monarch Park Stadium and outdoor summer sessions at multiple parks. Perfect for all skill levels with organized games and social atmosphere.|https://source.unsplash.com/random/?soccer,field|Various GTA Locations|Soccer|Beginner to Advanced|Soccer,Indoor,Outdoor,Seasonal,Tournaments,Social|2025-05-29T00:00:00Z
as4|Beach Volleyball Toronto|Recreational and competitive beach volleyball leagues at Woodbine Beach and Ashbridges Bay. Summer leagues run May through September with tournaments on holiday weekends. Drop-in games available daily.|https://source.unsplash.com/random/?beachvolleyball|Woodbine Beach and Ashbridges Bay|Volleyball|All levels|Beach Volleyball,Summer,Leagues,Tournaments,Drop-in,Outdoor|2025-05-29T00:00:00Z
as5|City Tennis Network|Access to 30+ public courts across Toronto with organized matches and tournaments. Features skill-matching system and equipment lending program. Free court time with annual membership ($50/year).|https://source.unsplash.com/random/?tennis|Multiple Courts|Tennis|All levels|Tennis,Social,Competition,Equipment Lending,Court Access,Affordable|2025-05-29T00:00:00Z
as6|Toronto Dragon Boat Club|Experience dragon boat racing with practice sessions Tuesday/Thursday evenings. Includes racing team opportunities, beginner training programs, and equipment. Season runs May to September.|https://source.unsplash.com/random/?dragonboat|Toronto Harbour|Dragon Boat|All levels|Water Sports,Team Building,Racing,Training,Equipment Provided|2025-05-29T00:00:00Z
as7|Toronto Rock Climbing Community|Indoor climbing and bouldering at multiple locations (Joe Rockheads, Rock Oasis, True North). Monthly skill workshops, equipment rental, beginner courses, and social events. Daily passes $20-25.|https://source.unsplash.com/random/?rockclimbing|Multiple Gyms|Rock Climbing|All levels|Climbing,Indoor,Workshops,Social,Equipment Rental,Beginner Friendly|2025-05-29T00:00:00Z
as8|Toronto Sailing Club|Sailing programs at Toronto Islands with beginner lessons, equipment rental, and social sailing events. Season runs May to October. Membership includes basic certification.|https://source.unsplash.com/random/?sailing|Toronto Islands|Sailing|All levels|Sailing,Water Sports,Lessons,Equipment Rental,Certification,Social|2025-05-29T00:00:00Z
as9|Toronto Winter Sports Club|Organized skiing and snowboarding groups with day trips to nearby resorts. Includes equipment rental packages, lesson programs, and transportation. Operates December to March.|https://source.unsplash.com/random/?skiing|Various Resorts|Winter Sports|All levels|Skiing,Snowboarding,Winter,Equipment Rental,Lessons,Transportation|2025-05-29T00:00:00Z
as10|Waterfront Yoga Groups|Free community yoga sessions at HTO Park and Sugar Beach during summer months. Multiple skill levels and styles offered with morning and sunset classes. Bring your own mat.|https://source.unsplash.com/random/?yoga,waterfront|HTO Park and Sugar Beach|Yoga|All levels|Yoga,Outdoors,Community,Free,Summer,Wellness|2025-05-29T00:00:00Z
